QuestionID,Question_Category,Job_Seeker_Question,Importance_Index,Search_Tags,JS_Answer_1,JS_Answer_2,JS_Answer_3,JS_Answer_4,JS_Answer_5,JS_Answer_6,JS_Answer_7,JS_Answer_8,JS_Answer_9,JS_Answer_10,JS_Answer_11,JS_Answer_12,JS_Answer_13,JS_Answer_14,JS_Answer_15,JS_Answer_16,JS_Answer_17,JS_Answer_18,JS_Answer_19,JS_Answer_20,,Employer_Question_Phrasing,Employer_Answer_1,Employer_Answer_2,Employer_Answer_3,Employer_Answer_4,Employer_Answer_5,Employer_Answer_6,Employer_Answer_7,Employer_Answer_8,Employer_Answer_9,Employer_Answer_10,Employer_Answer_11,Employer_Answer_12,Employer_Answer_13,Employer_Answer_14,Employer_Answer_15,Employer_Answer_16,Employer_Answer_17,Employer_Answer_18,Employer_Answer_10,Employer_Answer_20
1,HR Requirements,Are you open to legal support roles?,1,"legal support, open positions, roles ",Yes ,No ,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
2,HR Requirements ,How far along are you in your search process? ,2,"stage, interview stage, timeline",Not currently looking,Just started researching,I've started interviewing,I'm in the later rounds of one or more interview processes. ,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
3,HR Requirements ,"Assuming you accepted an offer, when would you be able to start?",3,"start date, start, timeline, offer",Immediately ,Few Weeks ,~1 month,A few months,,,,,,,,,,,,,,,,,,"Assuming you extended an offer, when would you want a candidate to start? ",Immediately ,Few Weeks ,~A month,A few months,,,,,,,,,,,,,,,,
4,Legal Experience,How many years of legal support experience do you have?,4,"experience, years worked",No prior work experience. ,<1 year,1 - 2 years ,3 - 4 years ,5 - 6 years,7 - 8 years ,8 - 10 years ,10+ years,,,,,,,,,,,,,,How many years of prior experience should a candidate ideally have in legal support services for this position?,No prior work experience required. ,<1 year,1 - 2 years ,3 - 4 years ,5 - 6 years,7 - 8 years ,8 - 10 years ,10+ years,,,,,,,,,,,,
5,Legal Experience,Would you say that you have a particular practice specialization area? ,5,experience ,I don't have a specific focus. ,Corporate Law,Family Law,Criminal Law,Intellectual Property Law,Estate Planning and Probate,Immigration Law,Personal Injury Law,Real Estate Law,Bankruptcy Law,Employment and Labor Law,Civil Rights Law,Environmental Law,Healthcare Law,Litigation,Tax Law,Admiralty and Maritime Law,,,,,Do you prefer a paralagal with a specific legal specalization area? ,I don't have a specific focus. ,Corporate Law,Family Law,Criminal Law,Intellectual Property Law,Estate Planning and Probate,Immigration Law,Personal Injury Law,Real Estate Law,Bankruptcy Law,Employment and Labor Law,Civil Rights Law,Environmental Law,Healthcare Law,Litigation,Tax Law,Admiralty and Maritime Law,,,
6,HR Requirements ,"Considering the continuum from small, independent law firms to the AmLaw100, what size of firm do you naturally gravitate towards?",6,firm size,"Boutique: I am looking to join a small, specialized practice focusing on a particular area of law.",Small Independent: I am looking for a small firm that offers general legal services and has a localized clientele.,"Regional: I am interested in joining a firm that operates at a regional level, offering a range of legal services across multiple states.",Mid-size: I am open to joining a mid-size firm that offers a variety of legal services and possibly has multiple offices.,"National: I am aiming to join a firm with a broad scope, that has offices in multiple states and offers a wide array of legal services.","AmLaw 100: I aspire to join a firm that is among the 100 largest in the U.S., offering comprehensive services both nationally and internationally.",,,,,,,,,,,,,,,,"Considering the continuum from small, independent law firms to the AmLaw100, how would you describe your firm?","Boutique: Our firm is a small, specialized practice focusing on a particular area of law.","Small Independent: Our firm is small, with general legal services and a localized clientele.","Regional: Our firm operates at a regional level, offering a range of legal services across multiple states.","Mid-size: Our firm is neither small nor large, offering a variety of legal services and possibly multiple offices.","National: Our firm has a broad scope, with offices in multiple states, offering a wide array of legal services.","AmLaw 100: Our firm is among the 100 largest firms in the U.S., offering comprehensive services both nationally and internationally.",,,,,,,,,,,,,,
7,HR Requirements ,What's your highest completed level of education?,7,"Highest education level, Completed education, Degree, Diploma, education",No formal education. ,High School Diploma,Associate Degree,Bachelor's Degree,Master's Degree,Doctorate Degree,,,,,,,,,,,,,,,,What's the minimum level of education you expect in a candidate?,No formal education required. ,High School Diploma,Associate Degree,Bachelor's Degree,Master's Degree,Doctorate,,,,,,,,,,,,,,
8,HR Requirements ,What is your preferred work arrangement?,8,Contract type,"Full Time, Salaried  ","Full Time, Hourly","Part-time, Hourly ",Freelance / Contract Based,,,,,,,,,,,,,,,,,,What is the contractual arrangement of this position? ,"Full Time, Salaried  ","Full Time, Hourly",Part-time,Freelance / Contract Based,,,,,,,,,,,,,,,,
9,HR Requirements ,"With respect to contract-based work, what is the minimum contract length that would still make a job appealing?",9,Contract type,I am not interested in contract based work. ,At least 3 months,At least 6 months,At least 12m ,At least 18m ,,,,,,,,,,,,,,,,,"If this is a contract-based position, what it the closest contract term? ",N/A,month-to-month ,6 months,12m ,18m ,,,,,,,,,,,,,,,
10,HR Requirements ,"With respect to contract-based work, what is the minimum hourly rate that would still make a job appealing? ",10,hourly rate,I am not interested in contract-based positions. ,Entry Level: $15 - $20 per hour,Mid-Range: $21 - $30 per hour,Experienced: $31 - $45 per hour,Senior Level: $46 - $60 per hour,Expert Level: $61 and above per hour,,,,,,,,,,,,,,,,"If this is a contract-based position, what is the closest hourly rate range? ",$15 - $20/hr,$21 - $25/hr,$26 - $30/hr,$31 - $40/hr,$41 - $50/hr,$51 - $60/hr,$61 and above/hr,,,,,,,,,,,,,
11,HR Requirements ,"With respect to salaried positions, what is the minimum salary range that would still make a job appealing?",11,Salary,I am not interested in salaried positions. ,"<$40,000","$40,000 - $50,000","$50,000 - $60,000","$60,000 - $70,000","$70,000 - $80,000","$80,000 - $90,000","$90,000 - $100,000",,,,,,,,,,,,,,"If this is a salaried position, what is the salary?",N/A,"<$50,000","$50,000 - $60,000","$60,000 - $70,000","$70,000 - $80,000","$80,000 - $90,000","$90,000 - $100,000","$100,000+",,,,,,,,,,,,
12,HR Requirements ,What is your work from home preference?,12,"wfh, WFH, work from home","Fully Remote: I prefer a role that is 100% remote, with no office presence required at any time.","Some Office Attendance: I prefer a role that is primarily remote, but I'm open to regular visits to the office for collaboration and team engagement.","Some Weekly Office Attendance Required: I prefer a role that requires a consistent in-office presence on a weekly basis, with the flexibility to work remotely on other days.",In-Office Only: I prefer a role that requires full-time presence in the office. ,,,,,,,,,,,,,,,,,,What is the work arrangement for this role in terms of remote work versus in-office work?,"Fully Remote: This role is 100% remote, and no office presence is required at any time.","Weekly Office Attendance Preferred: This role is primarily remote, but visits to the office are preferred for collaboration and team engagement.","Some Weekly Office Attendance Required: This role requires a consistent in-office presence on a weekly basis, with the flexibility to work remotely on other days.",In-Office Only: This role requires full-time presence in the office and does not offer remote work flexibility.,,,,,,,,,,,,,,,,
13,HR Requirements ,"If required to come into an office, which hub would be your preferred work location?",13,"location, home office","New York, NY","Washington, D.C.","San Francisco, CA","Los Angeles, CA","Chicago, IL","Boston, MA","Houston, TX","Atlanta, GA","Dallas, TX","Philadelphia, PA","Seattle, WA","Miami, FL","Denver, CO","Minneapolis, MN","San Diego, CA","Austin, TX","Phoenix, AZ","Charlotte, NC","Tampa, FL","St. Louis, MO",,Where is this job's nearest home office located? ,"New York, NY","Washington, D.C.","San Francisco, CA","Los Angeles, CA","Chicago, IL","Boston, MA","Houston, TX","Atlanta, GA","Dallas, TX","Philadelphia, PA","Seattle, WA","Miami, FL","Denver, CO","Minneapolis, MN","San Diego, CA","Austin, TX","Phoenix, AZ","Charlotte, NC","Tampa, FL","St. Louis, MO"
14,HR Requirements ,Would you require a company sponsored work visa to work in the United States? ,14,"visa, sponsorship",Yes ,No ,,,,,,,,,,,,,,,,,,,,Would you support sponsorship of a work visa for this role? ,Yes,No,,,,,,,,,,,,,,,,,,
